Ticker,Price (₹),Market Cap (Cr),9 EMA,20 EMA,Scan Time
ADANIENT,2909.4,398862.5,2863.3,2719.85,2026-06-01 18:01
COALINDIA,472.6,291250.6,462.57,461.36,2026-06-01 18:04
ADANIGREEN,1446.9,238329.9,1437.14,1380.28,2026-06-01 18:01
ADANIENSOL,1496.5,179772.0,1459.99,1402.97,2026-06-01 18:01
CUMMINSIND,5680.5,157463.5,5591.9,5440.14,2026-06-01 18:05
ABB,7027.5,148918.6,6956.09,6862.37,2026-06-01 18:01
CGPOWER,894.35,140856.3,891.82,864.83,2026-06-01 18:04
ENRIN,3717.4,132384.2,3578.6,3406.22,2026-06-01 18:06
BOSCHLTD,36705.0,108256.4,36431.93,36452.89,2026-06-01 18:04
ATGL,733.8,80704.1,722.93,680.91,2026-06-01 18:02
DIXON,11463.0,69564.1,11461.6,11279.78,2026-06-01 18:05
COFORGE,1461.2,62831.6,1402.57,1358.05,2026-06-01 18:04
BERGEPAINT,512.9,59804.3,512.01,503.91,2026-06-01 18:03
AIAENG,4522.7,42206.0,4233.61,4084.61,2026-06-01 18:01
ENDURANCE,2732.2,38431.9,2690.49,2607.32,2026-06-01 18:06
CPPLUS,3126.0,36840.1,2718.98,2562.45,2026-06-01 18:04
BANDHANBNK,207.14,33370.6,202.39,197.88,2026-06-01 18:03
EXIDEIND,392.25,33341.2,374.14,361.97,2026-06-01 18:06
ANGELONE,335.6,30652.0,333.84,324.26,2026-06-01 18:02
AEGISLOG,774.25,27176.2,729.65,712.9,2026-06-01 18:01
ACUTAAS,3018.9,24716.1,2974.77,2851.28,2026-06-01 18:01
ASAHIINDIA,898.8,22912.9,883.99,864.29,2026-06-01 18:02
ASTRAZEN,8729.0,21822.5,8669.25,8577.37,2026-06-01 18:02
BOSCH-HCIL,1400.4,21396.2,1385.63,1384.01,2026-06-01 18:04
EMMVEE,303.9,21040.4,296.53,281.66,2026-06-01 18:06
CRAFTSMAN,8771.5,20924.9,8723.85,8509.35,2026-06-01 18:04
BAYERCROP,4522.0,20322.8,4473.82,4495.63,2026-06-01 18:03
ANANTRAJ,538.65,19384.8,512.78,507.84,2026-06-01 18:02
BELRISE,215.02,19134.2,214.62,213.41,2026-06-01 18:03
ERIS,1378.4,19100.1,1371.9,1368.71,2026-06-01 18:06
CGCL,198.03,19053.5,192.09,189.62,2026-06-01 18:04
CHAMBLFERT,469.45,18808.6,463.34,456.14,2026-06-01 18:04
ACMESOLAR,307.2,18597.5,300.6,295.15,2026-06-01 18:01
BBOX,1046.6,18587.5,983.48,895.39,2026-06-01 18:03
CEMPRO,1073.8,18446.6,979.45,915.09,2026-06-01 18:04
ELGIEQUIP,580.25,18291.9,568.29,557.39,2026-06-01 18:05
CASTROLIND,183.97,18196.9,183.7,183.31,2026-06-01 18:04
DEEPAKFERT,1410.6,17825.1,1401.98,1348.79,2026-06-01 18:05
CUPID,129.09,17358.2,126.42,122.9,2026-06-01 18:05
BIKAJI,664.9,16671.5,654.28,657.62,2026-06-01 18:03
CHENNPETRO,1096.9,16334.1,1049.16,1040.98,2026-06-01 18:04
ABDL,551.55,15427.4,546.19,543.52,2026-06-01 18:01
AGARWALEYE,481.35,15258.0,475.07,465.4,2026-06-01 18:01
ATLANTAELE,1983.6,15253.2,1841.27,1748.02,2026-06-01 18:02
APOLLO,404.15,14440.5,390.55,357.65,2026-06-01 18:02
ARVIND,479.15,12559.2,477.65,460.14,2026-06-01 18:02
ASTRAMICRO,1316.2,12496.7,1300.14,1224.84,2026-06-01 18:02
AFCONS,331.35,12186.5,322.71,322.16,2026-06-01 18:01
BALRAMCHIN,532.9,10761.9,530.05,528.84,2026-06-01 18:03
AVALON,1451.8,9696.2,1449.87,1362.65,2026-06-01 18:02
BANCOINDIA,654.55,9362.5,630.3,619.48,2026-06-01 18:03
AMAGI,409.1,8850.4,404.41,402.77,2026-06-01 18:02
CLEAN,787.6,8370.4,774.22,780.65,2026-06-01 18:04
E2E,4118.5,8227.3,3791.84,3516.4,2026-06-01 18:05
CAMPUS,250.95,7668.9,245.99,244.02,2026-06-01 18:04
BLUESTONE,496.1,7558.6,479.97,483.59,2026-06-01 18:03
BAJAJCON,559.05,7302.2,553.0,533.04,2026-06-01 18:03
ASHAPURMIN,716.35,6843.0,682.6,661.68,2026-06-01 18:02
AJAXENGG,588.35,6731.1,574.27,555.9,2026-06-01 18:01
DODLA,1102.3,6649.9,1083.85,1078.87,2026-06-01 18:05
ARVINDFASN,465.55,6222.3,457.58,451.5,2026-06-01 18:02
CENTUM,3511.3,5176.0,3257.93,3119.99,2026-06-01 18:04
CRAMC,249.33,4972.1,245.46,246.62,2026-06-01 18:04
FCL,40.89,4761.6,36.74,32.6,2026-06-01 18:06
DATAMATICS,800.65,4732.4,776.52,765.96,2026-06-01 18:05
AVANTEL,173.41,4607.7,171.56,164.81,2026-06-01 18:02
BAJAJHIND,19.04,4489.2,18.52,18.58,2026-06-01 18:03
BLISSGVS,402.45,4257.5,358.58,321.76,2026-06-01 18:03
ADVENZYMES,379.55,4250.1,373.94,365.03,2026-06-01 18:01
AGI,598.65,3873.1,591.31,590.97,2026-06-01 18:01
AYE,149.04,3644.0,143.44,139.19,2026-06-01 18:03
CYIENTDLM,433.0,3436.5,425.82,415.52,2026-06-01 18:05
DEEPINDS,503.95,3225.3,477.68,471.34,2026-06-01 18:05
DREDGECORP,1132.4,3170.7,1094.93,1034.26,2026-06-01 18:05
CARYSIL,1056.0,3003.5,1050.95,1000.29,2026-06-01 18:04
ANTELOPUS,813.55,2860.6,762.04,734.0,2026-06-01 18:02
ELPROINTL,166.98,2830.0,164.95,155.03,2026-06-01 18:05
BUILDPRO,1132.0,2745.0,1123.94,1114.64,2026-06-01 18:04
DIAMONDYD,1103.0,2637.3,1061.4,1029.73,2026-06-01 18:05
APCOTEXIND,492.7,2554.4,488.23,475.12,2026-06-01 18:02
DDEVPLSTIK,246.77,2553.5,242.93,242.17,2026-06-01 18:05
DIVGIITTS,806.4,2466.2,758.1,733.82,2026-06-01 18:05
BHARATRAS,1435.8,2386.5,1434.9,1425.5,2026-06-01 18:03
BAJEL,192.78,2230.4,185.85,182.02,2026-06-01 18:03
EXICOM,158.62,2206.1,146.55,134.82,2026-06-01 18:06
BFUTILITIE,570.65,2149.5,559.2,551.89,2026-06-01 18:03
CONFIPET,63.47,2108.7,63.17,60.8,2026-06-01 18:04
BLSE,223.07,2022.2,213.94,204.43,2026-06-01 18:03
FILATEX,45.08,2001.8,44.28,43.79,2026-06-01 18:06
ASIANENE,350.95,1705.0,348.36,333.81,2026-06-01 18:02
ACCELYA,1140.5,1702.3,1133.7,1137.57,2026-06-01 18:01
BFINVEST,431.6,1625.7,411.87,409.97,2026-06-01 18:03
AMRUTANJAN,559.85,1618.0,558.69,558.15,2026-06-01 18:02
AQYLON,61.53,1561.2,60.88,58.37,2026-06-01 18:02
5PAISA,324.65,1521.9,324.12,321.71,2026-06-01 18:01
BETA,1423.4,1436.9,1376.74,1348.14,2026-06-01 18:03
CLSEL,288.55,1434.8,280.93,277.35,2026-06-01 18:04
AURUM,178.98,1364.6,178.12,177.8,2026-06-01 18:02
BOROSCI,150.65,1340.0,141.3,132.33,2026-06-01 18:04
FAZE3Q,552.0,1339.8,511.08,486.9,2026-06-01 18:06
DHANBANK,33.52,1323.0,33.35,32.41,2026-06-01 18:05
AYMSYNTEX,223.0,1307.1,220.7,221.17,2026-06-01 18:03
ASIANHOTNR,305.85,1303.9,305.52,301.84,2026-06-01 18:02
ALLDIGI,824.4,1256.2,823.83,822.47,2026-06-01 18:02
BLUSPRING,81.92,1224.2,72.95,70.0,2026-06-01 18:03
ELECTHERM,941.3,1199.5,822.48,788.07,2026-06-01 18:05
ARIHANTSUP,259.05,1120.4,256.1,256.51,2026-06-01 18:02
CENTENKA,486.45,1062.9,485.23,468.23,2026-06-01 18:04
AVTNPL,69.62,1060.2,69.06,68.13,2026-06-01 18:03
DHARMAJ,286.35,967.8,277.73,272.15,2026-06-01 18:05
AMBIKCO,1675.0,958.9,1631.11,1587.37,2026-06-01 18:02
DWARKESH,44.55,825.5,43.97,44.37,2026-06-01 18:05
ARROWGREEN,545.55,823.1,504.73,507.33,2026-06-01 18:02
ASAL,511.25,811.1,502.32,498.83,2026-06-01 18:02
COFFEEDAY,38.25,808.0,29.68,27.56,2026-06-01 18:04
CONSOFINVT,239.55,774.4,232.36,229.36,2026-06-01 18:04
CHEMCON,184.46,675.7,182.1,173.52,2026-06-01 18:04
APTECHT,102.94,597.1,102.3,99.61,2026-06-01 18:02
FOCUS,83.9,563.3,83.02,82.16,2026-06-01 18:06
EMAMIPAP,87.06,526.7,81.97,79.96,2026-06-01 18:05
DONEAR,94.68,492.3,92.4,91.77,2026-06-01 18:05
BBTCL,225.85,463.2,206.66,200.34,2026-06-01 18:03
EUROBOND,183.51,449.6,182.88,179.71,2026-06-01 18:06
BANSWRAS,123.2,421.7,123.0,121.8,2026-06-01 18:03
DBEIL,82.66,385.0,80.3,79.25,2026-06-01 18:05
BEDMUTHA,115.5,372.6,111.03,110.92,2026-06-01 18:03
3IINFOLTD,17.51,363.2,17.43,17.37,2026-06-01 18:01
APCL,120.17,353.0,119.98,117.86,2026-06-01 18:02
DJML,104.85,345.8,101.41,98.06,2026-06-01 18:05
BAFNAPH,138.49,327.6,134.28,133.76,2026-06-01 18:03
APOLSINHOT,1246.6,324.2,1187.57,1162.05,2026-06-01 18:02
DYNPRO,250.9,311.8,238.66,234.43,2026-06-01 18:05
ASAHISONG,258.58,304.8,247.18,243.7,2026-06-01 18:02
DPWIRES,187.07,290.0,181.24,178.88,2026-06-01 18:05
AARVI,131.82,195.2,130.4,128.78,2026-06-01 18:01
ASPINWALL,239.88,187.5,235.86,233.68,2026-06-01 18:02
EMMBI,84.25,162.1,83.91,83.8,2026-06-01 18:06
BCPL,80.41,134.5,78.38,77.49,2026-06-01 18:03
BSL,129.83,133.6,127.78,126.28,2026-06-01 18:04
DBSTOCKBRO,33.44,117.0,31.31,29.73,2026-06-01 18:05
BEARDSELL,29.27,115.4,26.16,25.79,2026-06-01 18:03
ARTNIRMAN,42.54,106.2,41.69,41.49,2026-06-01 18:02
