Ticker,Price,Market Cap (Cr),Pole Gain %,Consol Range %,Consol Length,9 EMA,20 EMA
ADANIENT,2909.4,398862.5,69.04,7.17,5,2863.3,2719.98
HINDALCO,1141.3,255212.2,30.83,7.44,5,1118.47,1090.86
IDEA,13.95,151138.5,66.24,4.11,5,13.79,12.98
IDFCFIRSTB,71.25,61352.7,21.46,5.55,5,70.37,69.53
ENDURANCE,2732.2,38431.9,24.19,4.05,5,2690.48,2607.07
BANDHANBNK,207.14,33370.6,45.62,7.86,5,202.39,197.86
HONAUT,35070.0,31027.7,34.93,7.35,5,34111.54,32570.69
ANGELONE,335.6,30652.0,54.87,5.07,5,333.84,324.32
CUPID,129.09,17358.2,67.11,5.23,5,126.42,122.92
AJAXENGG,588.35,6731.1,46.0,7.48,5,574.27,555.96
GCSL,417.2,944.5,25.99,7.83,5,401.49,388.88
APCL,120.17,353.0,22.83,5.85,5,119.98,117.88
